1.400000,1.350000xOptimal,1.325000xOptimal,1.300000xOptimal,1.275000xOptimal,1.250000xOptimal,1.225000xOptimal,1.200000xOptimal,1.175000xOptimal,1.150000xOptimal,1.125000xOptimal,1.100000xOptimal,1.075000xOptimal,1.050000xOptimal,1.025000xOptimal,1.000000xOptimal,BestFoundIn,BestResultOptimality
#Baseline:
#alpha=1,beta=3.5,rho=0.5,numCities=574,q_0=0.7,epsilon=0.1
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
#alpha=1,beta=2,rho=0.5,numCities=574,q_0=0.7,epsilon=0.1
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
#alpha=1,beta=5,rho=0.5,numCities=574,q_0=0.7,epsilon=0.1
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47.1464,1.26008
0,0,0,0,0,14.8599,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101.063,1.23695
0,0,0,0,0,12.1415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.9855,1.23348
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89.8573,1.26545
0,0,0,0,0,17.3815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.3815,1.22841
#alpha=1,beta=3.5,rho=0.1,numCities=574,q_0=0.7,epsilon=0.1
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,154.754,1.25798
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,155.097,1.26265
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
#alpha=1,beta=5,rho=0.1,numCities=574,q_0=0.7,epsilon=0.1
0,0,0,0,0,18.7816,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,151.139,1.24305
0,0,0,0,0,30.153,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43.6907,1.23528
0,0,0,0,0,11.0603,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.5549,1.23695
0,0,0,0,0,7.37167,113.308,-1,-1,-1,-1,-1,-1,-1,-1,-1,113.308,1.22056
0,0,0,0,0,20.4458,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43.8857,1.22933
#alpha=1,beta=3.5,rho=0.5,numCities=574,q_0=0.9,epsilon=0.1
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86.4443,1.26258
0,0,0,0,0,8.5328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8.5328,1.24455
0,0,0,0,0,37.7751,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.7751,1.24137
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83.6192,1.25225
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46.9744,1.25157
#alpha=1,beta=3.5,rho=0.5,numCities=574,q_0=0.7,epsilon=0.1
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1.26734
